STATE,ZIP CODE,CARRIER,LOCALITY,RURAL IND,LAB CB LOCALITY,RURAL IND2,PLUS 4 FLAG,PART B DRUG INDICATOR,YEAR/QTR
AL,35146,10102,00,,Z9,,0,A,20174
AL,35147,10102,00,,Z9,,0,A,20174
AL,35148,10102,00,,Z9,,0,A,20174
AL,35149,10102,00,R,Z9,R,0,A,20174
AL,35150,10102,00,R,Z9,R,0,A,20174
AL,35151,10102,00,R,Z9,R,0,A,20174
AL,35160,10102,00,R,Z9,R,0,A,20174
AL,35161,10102,00,R,Z9,R,0,A,20174
AL,35171,10102,00,,Z9,,0,A,20174
AL,35172,10102,00,,Z9,,0,A,20174
AL,35173,10102,00,,Z9,,0,A,20174
AL,35175,10102,00,R,Z9,R,0,A,20174
AL,35176,10102,00,,Z9,,0,A,20174
AL,35178,10102,00,,Z9,,0,A,20174
AL,35179,10102,00,R,Z9,R,0,A,20174
AL,35180,10102,00,,Z9,,0,A,20174
AL,35181,10102,00,,Z9,,0,A,20174
AL,35182,10102,00,,Z9,,0,A,20174
AL,35183,10102,00,B,Z9,B,0,A,20174
AL,35184,10102,00,,Z9,,0,A,20174
AL,35185,10102,00,,Z9,,0,A,20174
AL,35186,10102,00,,Z9,,0,A,20174
AL,35187,10102,00,,Z9,,0,A,20174
AL,35188,10102,00,,Z9,,0,A,20174
AL,35201,10102,00,,Z9,,0,A,20174
AL,35202,10102,00,,Z9,,0,A,20174
AL,35203,10102,00,,Z9,,0,A,20174
AL,35204,10102,00,,Z9,,0,A,20174
AL,35205,10102,00,,Z9,,0,A,20174
AL,35206,10102,00,,Z9,,0,A,20174
AL,35207,10102,00,,Z9,,0,A,20174
AL,35208,10102,00,,Z9,,0,A,20174
AL,35209,10102,00,,Z9,,0,A,20174
AL,35210,10102,00,,Z9,,0,A,20174
AL,35211,10102,00,,Z9,,0,A,20174
AL,35212,10102,00,,Z9,,0,A,20174
AL,35213,10102,00,,Z9,,0,A,20174
AL,35214,10102,00,,Z9,,0,A,20174
AL,35215,10102,00,,Z9,,0,A,20174
AL,35216,10102,00,,Z9,,0,A,20174
AL,35217,10102,00,,Z9,,0,A,20174
AL,35218,10102,00,,Z9,,0,A,20174
AL,35219,10102,00,,Z9,,0,A,20174
AL,35220,10102,00,,Z9,,0,A,20174
AL,35221,10102,00,,Z9,,0,A,20174
AL,35222,10102,00,,Z9,,0,A,20174
AL,35223,10102,00,,Z9,,0,A,20174
AL,35224,10102,00,,Z9,,0,A,20174
AL,35225,10102,00,,Z9,,0,A,20174
AL,35226,10102,00,,Z9,,0,A,20174
AL,35228,10102,00,,Z9,,0,A,20174
AL,35229,10102,00,,Z9,,0,A,20174
AL,35230,10102,00,,Z9,,0,A,20174
AL,35231,10102,00,,Z9,,0,A,20174
AL,35232,10102,00,,Z9,,0,A,20174
AL,35233,10102,00,,Z9,,0,A,20174
AL,35234,10102,00,,Z9,,0,A,20174
AL,35235,10102,00,,Z9,,0,A,20174
AL,35236,10102,00,,Z9,,0,A,20174
AL,35237,10102,00,,Z9,,0,A,20174
AL,35238,10102,00,,Z9,,0,A,20174
AL,35240,10102,00,,Z9,,0,A,20174
AL,35242,10102,00,,Z9,,0,A,20174
AL,35243,10102,00,,Z9,,0,A,20174
AL,35244,10102,00,,Z9,,0,A,20174
AL,35245,10102,00,,Z9,,0,A,20174
AL,35246,10102,00,,Z9,,0,A,20174
AL,35249,10102,00,,Z9,,0,A,20174
AL,35253,10102,00,,Z9,,0,A,20174
AL,35254,10102,00,,Z9,,0,A,20174
AL,35255,10102,00,,Z9,,0,A,20174
AL,35259,10102,00,,Z9,,0,A,20174
AL,35260,10102,00,,Z9,,0,A,20174
AL,35261,10102,00,,Z9,,0,A,20174
AL,35263,10102,00,,Z9,,0,A,20174
AL,35266,10102,00,,Z9,,0,A,20174
AL,35270,10102,00,,Z9,,0,A,20174
AL,35277,10102,00,,Z9,,0,A,20174
AL,35278,10102,00,,Z9,,0,A,20174
AL,35279,10102,00,,Z9,,0,A,20174
AL,35280,10102,00,,Z9,,0,A,20174
AL,35281,10102,00,,Z9,,0,A,20174
AL,35282,10102,00,,Z9,,0,A,20174
AL,35283,10102,00,,Z9,,0,A,20174
AL,35285,10102,00,,Z9,,0,A,20174
AL,35286,10102,00,,Z9,,0,A,20174
AL,35287,10102,00,,Z9,,0,A,20174
AL,35288,10102,00,,Z9,,0,A,20174
AL,35289,10102,00,,Z9,,0,A,20174
AL,35290,10102,00,,Z9,,0,A,20174
AL,35291,10102,00,,Z9,,0,A,20174
AL,35292,10102,00,,Z9,,0,A,20174
